"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"703","인천광역시 미추홀구 숭의동","165-22","0165","0022","옥동","월세","84.1700","202408","20","2,000","50","6","2003","미추로35번길 9-11","202409~202609","신규","-","","","아파트"
"704","인천광역시 미추홀구 관교동","13-11","0013","0011","동부(관교동부)","월세","84.8765","202408","20","3,000","90","6","1991","주승로 253","202408~202608","신규","-","","","아파트"
"705","인천광역시 미추홀구 주안동","1556-59","1556","0059","캐슬앤더샵","월세","84.9992","202408","20","5,000","145","26","2022","경원대로780번길 22","202408~202608","신규","-","","","아파트"
"706","인천광역시 미추홀구 용현동","664","0664","0000","인천 SK Sky VIEW","전세","84.9801","202408","20","35,000","0","20","2016","용정공원로 33","202407~202607","갱신","-","45,000","0","아파트"
"707","인천광역시 미추홀구 도화동","108-1","0108","0001","TS굿모닝","전세","84.2700","202408","20","17,000","0","9","2002","장고개로36번길 36","202411~202611","신규","-","","","아파트"
"708","인천광역시 미추홀구 숭의동","462","0462","0000","스타디움센트럴시티","전세","84.9171","202408","19","36,000","0","36","2022","참외전로 268","202410~202610","신규","-","","","아파트"
"709","인천광역시 미추홀구 학익동","745","0745","0000","미추홀트루엘파크","전세","74.9210","202408","19","32,000","0","2","2022","학익소로9번길 24","202409~202609","신규","-","","","아파트"
"710","인천광역시 미추홀구 주안동","가-","0000","0000","포레나미추홀","월세","70.9508","202408","19","29,000","16","11","2022","경인로 372","202410~202610","신규","-","","","아파트"
"711","인천광역시 미추홀구 주안동","1678","1678","0000","힐스테이트푸르지오주안","전세","74.9700","202408","19","27,300","0","21","2023","남주길 150","202409~202609","갱신","사용","26,000","0","아파트"
"712","인천광역시 미추홀구 용현동","664","0664","0000","인천 SK Sky VIEW","전세","84.9939","202408","19","33,000","0","20","2016","용정공원로 33","202408~202508","갱신","사용","38,000","0","아파트"
"713","인천광역시 미추홀구 학익동","721","0721","0000","풍림아이원","전세","84.9357","202408","19","28,000","0","20","2007","매소홀로 340","202408~202608","갱신","-","4,000","0","아파트"
"714","인천광역시 미추홀구 학익동","745","0745","0000","미추홀트루엘파크","전세","74.9210","202408","19","32,000","0","2","2022","학익소로9번길 24","202409~202609","갱신","사용","34,000","0","아파트"
"715","인천광역시 미추홀구 주안동","1688","1688","0000","e편한세상주안에듀서밋","전세","84.8360","202408","19","30,000","0","17","2024","주승로 51","202409~202609","신규","-","","","아파트"
"716","인천광역시 미추홀구 숭의동","462","0462","0000","스타디움센트럴시티","전세","84.9171","202408","19","36,000","0","36","2022","참외전로 268","202410~202610","신규","-","","","아파트"
"717","인천광역시 미추홀구 주안동","1621","1621","0000","관교한신휴플러스","전세","84.6255","202408","19","27,000","0","16","2010","경원대로 717","202410~202610","신규","-","","","아파트"
"718","인천광역시 미추홀구 관교동","13-9","0013","0009","성지","전세","84.9450","202408","17","25,000","0","7","1991","문화로 35","202410~202610","신규","-","","","아파트"
"719","인천광역시 미추홀구 주안동","1556-59","1556","0059","캐슬앤더샵","전세","72.2459","202408","17","30,000","0","7","2022","경원대로780번길 22","202409~202609","갱신","사용","30,000","0","아파트"
"720","인천광역시 미추홀구 도화동","432-2","0432","0002","올레오","월세","76.1750","202408","17","1,000","80","21","2018","경인로 306","202409~202609","신규","-","","","아파트"
